City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
dondo,-19.6094,34.7431,42.96,97.0,15.0,1.33,MZ,1629948186.0
san-pedro,4.7485,-6.6363,45.13,92.0,99.0,2.22,CI,1629948187.0
robertson,36.5167,-86.8667,46.43,83.0,75.0,0.0,US,1629948187.0
avera,33.194,-82.5271,46.42,82.0,38.0,2.93,US,1629948187.0
swan hill,-35.3378,143.5544,40.17,37.0,4.0,2.36,AU,1629948188.0
les herbiers,46.8667,-1.0167,40.02,74.0,55.0,4.02,FR,1629948188.0
mbumi,-7.9058,39.2105,42.56,89.0,0.0,0.74,TZ,1629948188.0
prince albert,53.2001,-105.7677,38.09,82.0,20.0,0.0,CA,1629947943.0
kenai,60.5544,-151.2583,39.81,88.0,20.0,8.75,US,1629948030.0
bambous virieux,-20.3428,57.7575,42.87,94.0,40.0,2.57,MU,1629948189.0
putina,-15.4667,-69.4333,35.36,78.0,22.0,4.66,PE,1629948189.0
batamshinskiy,50.5594,58.2747,44.22,37.0,56.0,3.49,KZ,1629948189.0
saint anthony,45.0205,-93.218,44.32,67.0,1.0,0.0,US,1629947968.0
inirida,3.8653,-67.9239,45.46,90.0,55.0,1.44,CO,1629948190.0
khromtau,50.2503,58.4347,45.38,35.0,100.0,3.25,KZ,1629948190.0
bairiki,1.3292,172.9752,48.11,79.0,75.0,6.17,KI,1629948190.0
kijang,35.2442,129.2139,49.69,65.0,16.0,2.6,KR,1629948191.0
nelson bay,-32.7167,152.15,42.42,58.0,79.0,0.89,AU,1629948191.0
mikkeli,61.6886,27.2723,38.22,100.0,90.0,2.57,FI,1629948191.0
esperance,-33.8667,121.9,41.14,69.0,5.0,4.96,AU,1629948192.0
leningradskiy,69.3833,178.4167,32.5,90.0,99.0,10.16,RU,1629948192.0
ribeira grande,38.5167,-28.7,43.62,69.0,99.0,6.6,PT,1629948192.0
alofi,-19.0595,-169.9187,44.19,60.0,40.0,7.2,NU,1629948193.0
jalu,29.0331,21.5482,45.88,52.0,0.0,2.76,LY,1629948193.0
ous,60.9058,61.5186,40.27,97.0,100.0,1.46,RU,1629948193.0
pachino,36.7186,15.0907,46.07,78.0,2.0,3.93,IT,1629948194.0
banyo,6.75,11.8167,41.61,96.0,100.0,1.18,CM,1629948194.0
novobirilyussy,56.9514,90.6661,44.02,59.0,15.0,1.09,RU,1629948194.0
anastasiyevskaya,45.2158,37.8926,43.26,73.0,0.0,2.23,RU,1629948195.0
portland,45.5234,-122.6762,44.77,57.0,75.0,1.79,US,1629948052.0
luancheng,37.8792,114.6517,48.16,42.0,68.0,2.75,CN,1629948196.0
wageningen,51.9667,5.6667,40.92,89.0,90.0,2.57,NL,1629948196.0
sheltozero,61.3667,35.3667,38.56,82.0,100.0,4.99,RU,1629948197.0
oriximina,-1.7656,-55.8661,45.64,79.0,82.0,1.49,BR,1629948197.0
kichmengskiy gorodok,59.9816,45.7854,36.4,96.0,50.0,1.39,RU,1629948197.0
nizhnevartovsk,60.9344,76.5531,43.67,88.0,0.0,2.0,RU,1629948198.0
anori,-3.7728,-61.6442,46.03,57.0,24.0,1.63,BR,1629948198.0
surt,31.2089,16.5887,45.61,68.0,0.0,3.59,LY,1629948199.0
izazi,-7.2,35.7333,41.93,67.0,0.0,1.44,TZ,1629948200.0
tabuk,17.4189,121.4443,48.73,62.0,10.0,1.69,PH,1629948200.0
san antonio,29.4241,-98.4936,48.97,68.0,1.0,2.06,US,1629948200.0
kununurra,-15.7667,128.7333,49.99,11.0,12.0,5.09,AU,1629948201.0
grand gaube,-20.0064,57.6608,42.92,74.0,0.0,2.24,MU,1629948201.0
qandala,11.472,49.8728,49.33,60.0,100.0,2.55,SO,1629948201.0
nantucket,41.2835,-70.0995,45.26,93.0,20.0,2.57,US,1629948202.0
buenaventura,3.8801,-77.0312,41.54,94.0,100.0,0.7,CO,1629948202.0
bandarbeyla,9.4942,50.8122,46.18,79.0,75.0,10.93,SO,1629948202.0
victor harbor,-35.5667,138.6167,39.69,51.0,100.0,3.69,AU,1629948202.0
taldan,53.6667,124.8,41.45,72.0,100.0,2.75,RU,1629948203.0
belaya gora,68.5333,146.4167,41.68,40.0,19.0,4.29,RU,1629948203.0
baherden,38.4362,57.4316,49.86,18.0,0.0,1.1,TM,1629948203.0
plainview,40.7765,-73.4673,47.7,80.0,20.0,0.45,US,1629948204.0
maldonado,-34.6667,-54.9167,35.14,85.0,91.0,1.11,UY,1629948048.0
kupino,54.3663,77.2981,43.78,56.0,0.0,5.34,RU,1629948204.0
ahipara,-35.1667,173.1667,41.01,64.0,99.0,6.52,NZ,1629948189.0
kirensk,57.7853,108.1119,42.88,50.0,9.0,3.01,RU,1629948204.0
tiksi,71.6872,128.8694,37.51,93.0,100.0,3.58,RU,1629948205.0
brasilia de minas,-16.2064,-44.4333,42.76,39.0,19.0,2.44,BR,1629948205.0
ambon,-3.6954,128.1814,48.16,79.0,40.0,3.09,ID,1629948205.0
san policarpo,12.1791,125.5072,46.04,89.0,100.0,3.1,PH,1629948206.0
verkhnyaya toyma,62.2349,44.9985,36.44,95.0,97.0,1.69,RU,1629948206.0
xuddur,4.1213,43.8894,43.88,82.0,28.0,7.95,SO,1629948206.0
hamakita,34.8,137.7833,50.72,76.0,100.0,4.91,JP,1629948207.0
dongying,37.4564,118.4856,47.86,47.0,75.0,4.11,CN,1629948207.0
horadiz,39.4488,47.3353,43.91,65.0,0.0,0.75,AZ,1629948207.0
akdepe,42.0551,59.3788,45.89,32.0,5.0,4.14,TM,1629948208.0
tura,25.5198,90.2201,45.15,98.0,100.0,2.16,IN,1629948208.0
putyatino,54.16,41.1169,40.08,80.0,100.0,5.06,RU,1629948208.0
baykit,61.67,96.37,41.77,49.0,25.0,2.23,RU,1629948208.0
chapada dos guimaraes,-15.4606,-55.7497,46.89,29.0,35.0,1.83,BR,1629948209.0
hokitika,-42.7167,170.9667,38.72,84.0,100.0,3.83,NZ,1629948209.0
pisco,-13.7,-76.2167,41.27,77.0,88.0,3.09,PE,1629948210.0
seymchan,62.8833,152.4333,38.8,92.0,100.0,1.07,RU,1629948210.0
sinnamary,5.3833,-52.95,46.33,85.0,47.0,2.98,GF,1629948210.0
kupang,-10.1667,123.5833,49.96,45.0,20.0,9.26,ID,1629948211.0
nampula,-15.1165,39.2666,42.54,88.0,0.0,1.03,MZ,1629948211.0
khandyga,62.6667,135.6,40.84,64.0,100.0,3.04,RU,1629948211.0
padang,-0.9492,100.3543,48.18,64.0,96.0,0.87,ID,1629948212.0
orebro,59.2741,15.2066,38.72,76.0,75.0,8.75,SE,1629948212.0
thinadhoo,0.5333,72.9333,47.44,73.0,29.0,4.8,MV,1629948212.0
ambunti,-4.2365,142.8448,49.4,60.0,91.0,1.29,PG,1629948213.0
souris,49.6172,-100.2612,39.33,81.0,44.0,3.5,CA,1629948213.0
iqaluit,63.7506,-68.5145,35.81,76.0,75.0,6.69,CA,1629948213.0
batemans bay,-35.7167,150.1833,40.92,55.0,100.0,4.16,AU,1629948165.0
jabinyanah,35.035,10.9081,48.05,62.0,67.0,1.86,TN,1629948214.0
inhambane,-23.865,35.3833,40.88,100.0,20.0,1.54,MZ,1629948214.0
goure,13.9835,10.2704,44.97,66.0,100.0,0.89,NE,1629948215.0
igrim,63.1906,64.4162,40.21,97.0,100.0,4.78,RU,1629948215.0
rosetta,31.4044,30.4164,46.39,73.0,0.0,4.53,EG,1629948215.0
peniche,39.3558,-9.3811,42.95,86.0,63.0,2.56,PT,1629948216.0
nuevo progreso,23.1667,-97.95,47.0,74.0,7.0,0.45,MX,1629948216.0
rock sound,24.9,-76.2,47.67,76.0,7.0,7.95,BS,1629948216.0
nagato,34.3833,131.2,48.81,79.0,98.0,7.12,JP,1629948217.0
kishtwar,33.3167,75.7667,44.56,77.0,46.0,0.42,IN,1629948217.0
half moon bay,37.4636,-122.4286,44.17,83.0,1.0,6.17,US,1629948217.0
rovaniemi,66.5,25.7167,36.26,87.0,90.0,3.6,FI,1629948217.0
komsomolskiy,40.4272,71.7189,47.78,20.0,1.0,1.03,UZ,1629948218.0
elat,29.5581,34.9482,48.06,51.0,0.0,6.17,IL,1629948218.0
karoi,-16.8099,29.6925,40.41,44.0,0.0,3.34,ZW,1629948218.0
anju,39.6178,125.6647,46.86,73.0,98.0,4.27,KP,1629948219.0
qiyang,26.5911,111.8474,48.52,71.0,99.0,0.07,CN,1629948219.0
ibra,22.6906,58.5334,47.43,62.0,0.0,2.44,OM,1629948219.0
bulgan,48.8125,103.5347,37.62,73.0,98.0,2.64,MN,1629948220.0
aksu,41.1231,80.2644,46.02,30.0,0.0,1.1,CN,1629948220.0
atasu,48.6814,71.6433,44.78,32.0,62.0,5.45,KZ,1629948220.0
maun,-19.9833,23.4167,41.99,48.0,0.0,2.57,BW,1629948221.0
madingou,-4.1536,13.55,45.61,71.0,33.0,2.36,CG,1629948221.0
santa cruz,-17.8,-63.1667,42.13,55.0,96.0,7.6,BO,1629948221.0
airai,-8.9266,125.4092,45.21,47.0,75.0,2.51,TL,1629948222.0
saintes,45.6667,-0.75,40.81,77.0,13.0,3.67,FR,1629948222.0
payo,-3.7508,103.6372,48.52,56.0,15.0,1.89,ID,1629948222.0
nishihara,26.1842,127.7558,49.56,71.0,20.0,4.12,JP,1629948222.0
kaoma,-14.7833,24.8,40.17,39.0,3.0,2.39,ZM,1629948223.0
puerto cabezas,14.0351,-83.3888,46.06,88.0,100.0,3.73,NI,1629948223.0
henties bay,-22.116,14.2845,39.36,85.0,2.0,1.15,NA,1629948224.0
conceicao do araguaia,-8.2578,-49.2647,47.04,65.0,0.0,0.51,BR,1629948224.0
sadasivpet,17.6212,77.9503,45.03,75.0,100.0,4.18,IN,1629948224.0
neyshabur,36.2133,58.7958,45.26,22.0,0.0,0.75,IR,1629948224.0
montrose,38.4166,-108.2673,41.82,21.0,0.0,3.16,US,1629948152.0
manta,-0.95,-80.7333,44.16,88.0,75.0,4.12,EC,1629948015.0
cockburn town,21.4612,-71.1419,47.36,81.0,99.0,8.71,TC,1629948225.0
lovozero,68.005,35.0117,35.8,76.0,100.0,1.52,RU,1629948225.0
quilpue,-33.045,-71.4494,36.47,81.0,0.0,2.06,CL,1629948226.0
guanica,17.9716,-66.908,47.13,81.0,55.0,0.89,PR,1629948226.0
jagalur,14.5333,76.35,45.53,76.0,98.0,5.28,IN,1629948226.0
talcahuano,-36.7167,-73.1167,38.01,87.0,90.0,4.12,CL,1629948227.0
skibbereen,51.55,-9.2667,39.72,93.0,10.0,2.8,IE,1629948227.0
natal,-5.795,-35.2094,44.84,94.0,20.0,3.09,BR,1629947962.0
jingdezhen,29.2947,117.2079,49.81,64.0,93.0,0.33,CN,1629948227.0
crotone,39.0851,17.1178,45.91,74.0,12.0,2.98,IT,1629948228.0
shellbrook,53.2168,-106.4011,37.87,55.0,21.0,2.88,CA,1629947991.0
byron bay,-28.65,153.6167,43.44,49.0,5.0,2.28,AU,1629947835.0
plouzane,48.3833,-4.6167,39.81,94.0,0.0,3.6,FR,1629948228.0
aswan,24.0934,32.907,47.34,26.0,0.0,3.09,EG,1629948228.0
nsanje,-16.92,35.262,43.27,81.0,0.0,1.94,MW,1629948229.0
bucyrus,40.8084,-82.9755,45.13,90.0,4.0,1.11,US,1629948229.0
muros,42.7762,-9.0603,42.8,94.0,86.0,0.58,ES,1629948229.0
shaunavon,49.6501,-108.4181,38.6,55.0,100.0,3.8,CA,1629948230.0
te anau,-45.4167,167.7167,37.78,88.0,100.0,2.08,NZ,1629948230.0
petropavlovsk-kamchatskiy,53.0452,158.6483,43.85,64.0,0.0,5.0,RU,1629948230.0
namie,37.4833,141.0,51.05,63.0,99.0,1.55,JP,1629948231.0
gao,16.6362,1.637,47.02,65.0,61.0,6.11,ML,1629948231.0
cabedelo,-6.9811,-34.8339,44.98,85.0,10.0,4.75,BR,1629948231.0
nuevo laredo,27.4763,-99.5164,49.77,62.0,1.0,4.63,MX,1629948232.0
kitami,43.8031,143.8908,47.39,70.0,50.0,3.09,JP,1629948232.0
cortez,37.3489,-108.5859,44.81,39.0,1.0,0.0,US,1629948232.0
peleduy,59.6289,112.7406,39.7,82.0,100.0,3.65,RU,1629948233.0
maniitsoq,65.4167,-52.9,35.33,90.0,100.0,3.97,GL,1629948233.0
kibala,9.1104,18.3463,45.87,94.0,20.0,0.0,TD,1629948233.0
halmstad,56.6745,12.8568,39.68,81.0,20.0,5.66,SE,1629948234.0
guarapari,-20.6667,-40.4975,44.19,88.0,0.0,5.67,BR,1629948234.0
rancho palos verdes,33.7445,-118.387,48.87,79.0,20.0,1.79,US,1629948137.0
okhotsk,59.3833,143.3,40.03,93.0,100.0,1.77,RU,1629948234.0
ekhabi,53.5102,142.9671,42.37,79.0,100.0,3.5,RU,1629948235.0
ixtapa,20.7,-105.2,48.12,89.0,90.0,0.0,MX,1629948235.0
trincomalee,8.5711,81.2335,47.86,69.0,47.0,8.79,LK,1629948235.0
itarema,-2.9248,-39.9167,46.53,79.0,84.0,7.85,BR,1629948236.0
staraya mayna,54.6,48.95,39.81,60.0,37.0,3.12,RU,1629948236.0
homer,59.6425,-151.5483,39.19,91.0,75.0,2.06,US,1629948236.0
haines junction,60.7522,-137.5108,38.65,71.0,100.0,1.54,CA,1629948237.0
yeppoon,-23.1333,150.7333,45.27,48.0,22.0,3.22,AU,1629948237.0
nola,40.922,14.5329,45.75,77.0,89.0,0.51,IT,1629948237.0
svetlogorsk,52.6333,29.7333,39.04,97.0,96.0,1.77,BY,1629948238.0
atikokan,48.7555,-91.6216,38.87,74.0,0.0,2.1,CA,1629948238.0
kashi,39.4547,75.9797,46.88,33.0,34.0,3.0,CN,1629948238.0
la palma,33.8464,-118.0467,49.91,66.0,20.0,1.79,US,1629948239.0
coos bay,43.3665,-124.2179,41.44,77.0,1.0,3.09,US,1629948239.0
teknaf,20.8624,92.3058,47.52,83.0,100.0,3.74,BD,1629948239.0
chicama,-7.8447,-79.1469,41.44,88.0,99.0,3.78,PE,1629948240.0
ghanzi,-21.5667,21.7833,43.49,34.0,80.0,3.71,BW,1629948240.0
mogadishu,2.0371,45.3438,45.75,84.0,54.0,7.64,SO,1629948240.0
sioux lookout,50.1001,-91.917,39.34,76.0,40.0,3.6,CA,1629948229.0
nanyamba,-10.6833,39.8333,41.14,98.0,13.0,1.09,TZ,1629948241.0
guane,22.2025,-84.0875,46.48,76.0,94.0,4.13,CU,1629948241.0
auki,-8.7676,160.7034,48.6,61.0,95.0,1.75,SB,1629948241.0
bagarji,27.756,68.7524,47.56,74.0,8.0,4.12,PK,1629948242.0
penzance,50.1186,-5.5371,39.95,84.0,0.0,4.44,GB,1629948242.0
belmonte,-15.8631,-38.8828,43.82,87.0,32.0,3.51,BR,1629948242.0
tarakan,3.3,117.6333,49.07,70.0,40.0,2.57,ID,1629948242.0
senador pompeu,-5.5881,-39.3717,46.35,65.0,65.0,3.01,BR,1629948243.0
banamba,13.55,-7.45,45.28,80.0,100.0,3.4,ML,1629948243.0
adrar,20.5022,-10.0711,49.98,21.0,10.0,4.21,MR,1629948243.0
murray bridge,-35.1167,139.2667,39.61,49.0,96.0,3.43,AU,1629948244.0
birao,10.2849,22.7882,43.46,95.0,100.0,2.29,CF,1629948244.0
lesosibirsk,58.2358,92.4828,43.3,79.0,61.0,1.33,RU,1629948244.0
nikolayevka,53.1257,47.2041,39.35,56.0,26.0,2.08,RU,1629948245.0
marzuq,14.4,46.4667,46.09,57.0,14.0,2.35,YE,1629948245.0
hare bay,48.8499,-54.0148,37.91,91.0,78.0,1.05,CA,1629948246.0
humaita,-7.5061,-63.0208,47.04,49.0,100.0,1.51,BR,1629948246.0
mazatan,14.8667,-92.45,45.36,100.0,75.0,1.54,MX,1629948246.0
yanaul,56.2719,54.9309,39.86,88.0,77.0,4.09,RU,1629948247.0
kroya,-7.6331,109.2461,47.13,65.0,95.0,5.48,ID,1629948247.0
hereford,52.0568,-2.7148,40.88,69.0,41.0,2.01,GB,1629948247.0
labuhan,-6.8844,112.2051,48.54,53.0,45.0,1.86,ID,1629948247.0
vallenar,-28.5708,-70.7581,39.2,63.0,0.0,1.63,CL,1629948248.0
chinsali,-10.5414,32.0816,40.18,65.0,0.0,2.08,ZM,1629948248.0
korla,41.7597,86.1469,47.53,20.0,79.0,3.16,CN,1629948248.0
honiara,-9.4333,159.95,48.58,67.0,70.0,4.21,SB,1629948249.0
iralaya,15.0,-83.2333,46.74,82.0,99.0,4.34,HN,1629948249.0
constitucion,-35.3333,-72.4167,36.89,86.0,99.0,1.9,CL,1629948249.0
cayenne,4.9333,-52.3333,47.15,81.0,0.0,0.45,GF,1629948250.0
codrington,-38.2667,141.9667,37.93,78.0,100.0,5.6,AU,1629948250.0
